Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_200_4;03/09/2026 06:01;" 309° 34' 03.20670""";"  77° 58' 10.99186""";577.865;Atmos PPM;0;1013.25;11.1012;175653.394;9045993.938;199.404;176089.028;9045633.904;78.939;565.267;565.156
CND_1505;03/09/2026 06:01;" 310° 59' 42.73403""";"  79° 10' 42.92239""";381.651;Atmos PPM;0;1013.25;11.1012;175806.121;9045879.832;150.603;176089.028;9045633.904;78.939;374.89;374.856
CND_210_4;03/09/2026 06:01;" 311° 21' 24.73368""";"  77° 25' 45.76615""";600.882;Atmos PPM;0;1013.25;11.1012;175648.859;9046021.443;209.74;176089.028;9045633.904;78.939;586.567;586.459
CND_190_5;03/09/2026 06:01;" 312° 12' 18.49860""";"  78° 10' 50.88285""";542.24;Atmos PPM;0;1013.25;11.1012;175695.924;9045990.474;190.022;176089.028;9045633.904;78.939;530.796;530.729
CND_25;03/09/2026 06:02;" 313° 23' 17.97435""";"  82° 24' 38.57352""";237.061;Atmos PPM;0;1013.25;11.1012;175918.278;9045795.336;110.252;176089.028;9045633.904;78.939;235.096;234.981
CND_29;03/09/2026 06:02;" 313° 30' 26.22214""";"  80° 52' 41.30002""";264.294;Atmos PPM;0;1013.25;11.1012;175899.782;9045813.568;120.844;176089.028;9045633.904;78.939;261.111;260.947
CND_200_5;03/09/2026 06:02;" 316° 06' 24.26924""";"  77° 35' 23.12988""";562.27;Atmos PPM;0;1013.25;11.1012;175708.35;9046029.647;199.797;176089.028;9045633.904;78.939;549.185;549.116
CND_1401;03/09/2026 06:02;" 317° 46' 10.65164""";"  79° 41' 06.51660""";345.465;Atmos PPM;0;1013.25;11.1012;175860.615;9045885.583;140.805;176089.028;9045633.904;78.939;340.026;339.874
CND_1602;03/09/2026 06:02;" 317° 50' 28.06994""";"  78° 12' 03.22559""";403.378;Atmos PPM;0;1013.25;11.1012;175824.037;9045926.62;161.433;176089.028;9045633.904;78.939;394.845;394.845
CND_1504;03/09/2026 06:03;" 320° 45' 22.78769""";"  78° 43' 29.99169""";370.089;Atmos PPM;0;1013.25;11.1012;175859.45;9045915.005;151.307;176089.028;9045633.904;78.939;362.974;362.937
CND_210_5;03/09/2026 06:03;" 320° 50' 24.89870""";"  77° 01' 20.98064""";587.598;Atmos PPM;0;1013.25;11.1012;175727.495;9046077.9;210.917;176089.028;9045633.904;78.939;572.641;572.572
CND_190_6;03/09/2026 06:03;" 321° 21' 23.88032""";"  77° 52' 40.18338""";529.234;Atmos PPM;0;1013.25;11.1012;175765.949;9046038.06;190.095;176089.028;9045633.904;78.939;517.464;517.418
CND_26;03/09/2026 06:03;" 321° 48' 35.18931""";"  82° 11' 21.74672""";231.314;Atmos PPM;0;1013.25;11.1012;175947.357;9045814.03;110.378;176089.028;9045633.904;78.939;229.307;229.164
CND_30;03/09/2026 06:03;" 323° 47' 12.44678""";"  80° 41' 05.81573""";257.39;Atmos PPM;0;1013.25;11.1012;175938.99;9045838.843;120.605;176089.028;9045633.904;78.939;254.209;253.991
CND_1402;03/09/2026 06:03;" 325° 03' 30.46332""";"  79° 32' 25.74531""";340.051;Atmos PPM;0;1013.25;11.1012;175897.531;9045908.035;140.68;176089.028;9045633.904;78.939;334.538;334.393
CND_200_6;03/09/2026 06:03;" 325° 15' 04.19352""";"  77° 24' 56.50276""";553.593;Atmos PPM;0;1013.25;11.1012;175781.118;9046077.854;199.574;176089.028;9045633.904;78.939;540.325;540.277
CND_1603;03/09/2026 06:03;" 325° 30' 41.12367""";"  78° 11' 56.56580""";397.916;Atmos PPM;0;1013.25;11.1012;175868.506;9045954.961;160.328;176089.028;9045633.904;78.939;389.496;389.496
CND_210_6;03/09/2026 06:04;" 328° 34' 39.73564""";"  76° 54' 33.85781""";582.157;Atmos PPM;0;1013.25;11.1012;175793.463;9046117.787;210.815;176089.028;9045633.904;78.939;567.059;567.011
CND_1503;03/09/2026 06:04;" 328° 44' 16.09515""";"  78° 43' 00.36039""";367.86;Atmos PPM;0;1013.25;11.1012;175901.845;9045942.282;150.923;176089.028;9045633.904;78.939;360.776;360.741
CND_34;03/09/2026 06:04;" 330° 33' 56.18424""";"  80° 30' 47.38031""";315.764;Atmos PPM;0;1013.25;11.1012;175936.002;9045905.156;130.99;176089.028;9045633.904;78.939;311.606;311.439
CND_200_7;03/09/2026 06:04;" 332° 03' 32.37790""";"  77° 26' 33.03003""";554.823;Atmos PPM;0;1013.25;11.1012;175835.326;9046112.334;199.588;176089.028;9045633.904;78.939;541.571;541.535
CND_1604;03/09/2026 06:04;" 332° 27' 38.77198""";"  78° 10' 04.97313""";397.115;Atmos PPM;0;1013.25;11.1012;175909.354;9045978.549;160.375;176089.028;9045633.904;78.939;388.706;388.668
CND_27;03/09/2026 06:04;" 332° 40' 55.90574""";"  82° 13' 53.16103""";231.131;Atmos PPM;0;1013.25;11.1012;175983.949;9045837.379;110.185;176089.028;9045633.904;78.939;229.13;229.006
CND_22;03/09/2026 06:05;" 334° 37' 13.56990""";"  80° 44' 17.19418""";259.96;Atmos PPM;0;1013.25;11.1012;175979.08;9045865.718;120.783;176089.028;9045633.904;78.939;256.724;256.566
CND_210_7;03/09/2026 06:05;" 337° 51' 17.40227""";"  77° 09' 30.99359""";585.001;Atmos PPM;0;1013.25;11.1012;175874.076;9046162.2;208.979;176089.028;9045633.904;78.939;570.387;570.352
CND_1803;03/09/2026 06:06;" 348° 01' 18.39495""";"  78° 12' 08.32282""";498.574;Atmos PPM;0;1013.25;11.1012;175987.783;9046111.315;180.892;176089.028;9045633.904;78.939;488.054;488.028
CND_23;03/09/2026 06:06;" 348° 36' 45.05693""";"  78° 49' 28.46715""";391.408;Atmos PPM;0;1013.25;11.1012;176013.246;9046010.329;154.809;176089.028;9045633.904;78.939;383.951;383.977
CND_20;03/09/2026 06:07;" 359° 04' 45.43702""";"  83° 57' 00.69378""";203.552;Atmos PPM;0;1013.25;11.1012;176085.793;9045836.294;100.395;176089.028;9045633.904;78.939;202.449;202.415
CND_18;03/09/2026 06:07;"   0° 51' 00.17095""";"  86° 10' 40.90357""";178.314;Atmos PPM;0;1013.25;11.1012;176091.683;9045811.799;90.827;176089.028;9045633.904;78.939;177.925;177.915
CND_17;03/09/2026 06:07;"  11° 43' 29.91314""";"  86° 38' 49.50956""";208.078;Atmos PPM;0;1013.25;11.1012;176131.257;9045837.286;91.112;176089.028;9045633.904;78.939;207.753;207.719
CND_30002;03/09/2026 08:00;" 289° 14' 44.47251""";"  79° 29' 03.21501""";723.074;Atmos PPM;0;1013.25;11.1012;175417.871;9045868.29;210.939;176089.028;9045633.904;78.939;710.915;710.907
CND_30003;03/09/2026 08:00;" 290° 56' 14.50447""";"  79° 32' 51.97935""";674.095;Atmos PPM;0;1013.25;11.1012;175469.928;9045870.838;201.26;176089.028;9045633.904;78.939;662.894;662.89
CND_30004;03/09/2026 08:00;" 291° 25' 46.77241""";"  79° 52' 59.38879""";637.675;Atmos PPM;0;1013.25;11.1012;175504.703;9045863.304;190.977;176089.028;9045633.904;78.939;627.75;627.742
CND_170_1;03/09/2026 08:00;" 298° 32' 44.95255""";"  79° 40' 25.16157""";508.767;Atmos PPM;0;1013.25;11.1012;175649.38;9045873.117;170.155;176089.028;9045633.904;78.939;500.548;500.513
CND_190_3;03/09/2026 08:00;" 298° 34' 33.19918""";"  78° 59' 16.90519""";594.722;Atmos PPM;0;1013.25;11.1012;175576.407;9045913.17;192.563;176089.028;9045633.904;78.939;583.897;583.755
CND_180_2;03/09/2026 08:01;" 299° 00' 01.14533""";"  79° 34' 23.51315""";553.866;Atmos PPM;0;1013.25;11.1012;175612.642;9045898.025;179.198;176089.028;9045633.904;78.939;544.768;544.705
CND_210_3;03/09/2026 08:01;" 302° 54' 03.23469""";"  78° 03' 47.34560""";629.473;Atmos PPM;0;1013.25;11.1012;175571.989;9045968.465;209.161;176089.028;9045633.904;78.939;616.02;615.842
CND_200_8;03/09/2026 08:01;" 303° 25' 07.31910""";"  78° 15' 50.81268""";598.44;Atmos PPM;0;1013.25;11.1012;175600.013;9045956.638;200.685;176089.028;9045633.904;78.939;586.05;585.912
CND_200_3;03/09/2026 08:01;" 303° 25' 04.94642""";"  78° 15' 51.57917""";598.439;Atmos PPM;0;1013.25;11.1012;175600.01;9045956.633;200.683;176089.028;9045633.904;78.939;586.052;585.912
CND_190_4;03/09/2026 08:01;" 304° 23' 48.14502""";"  78° 35' 18.79738""";568.319;Atmos PPM;0;1013.25;11.1012;175629.392;9045948.642;191.404;176089.028;9045633.904;78.939;557.187;557.068
CND_200_4;03/09/2026 08:01;" 309° 34' 05.61264""";"  77° 58' 08.06627""";577.864;Atmos PPM;0;1013.25;11.1012;175653.4;9045993.942;199.412;176089.028;9045633.904;78.939;565.267;565.154
CND_1505;03/09/2026 08:01;" 310° 59' 45.65258""";"  79° 10' 41.73878""";381.65;Atmos PPM;0;1013.25;11.1012;175806.125;9045879.835;150.605;176089.028;9045633.904;78.939;374.89;374.855
CND_210_4;03/09/2026 08:01;" 311° 21' 27.76328""";"  77° 25' 44.01253""";600.881;Atmos PPM;0;1013.25;11.1012;175648.866;9046021.448;209.745;176089.028;9045633.904;78.939;586.567;586.457
CND_190_5;03/09/2026 08:01;" 312° 12' 22.24172""";"  78° 10' 47.90211""";542.239;Atmos PPM;0;1013.25;11.1012;175695.932;9045990.48;190.03;176089.028;9045633.904;78.939;530.796;530.726
CND_25;03/09/2026 08:02;" 313° 23' 19.59900""";"  82° 24' 37.06751""";237.06;Atmos PPM;0;1013.25;11.1012;175918.28;9045795.337;110.253;176089.028;9045633.904;78.939;235.096;234.98
CND_29;03/09/2026 08:02;" 313° 30' 29.47175""";"  80° 52' 41.21932""";264.294;Atmos PPM;0;1013.25;11.1012;175899.785;9045813.571;120.844;176089.028;9045633.904;78.939;261.111;260.946
CND_200_5;03/09/2026 08:02;" 316° 06' 28.14276""";"  77° 35' 25.32043""";562.27;Atmos PPM;0;1013.25;11.1012;175708.357;9046029.655;199.791;176089.028;9045633.904;78.939;549.185;549.116
CND_1401;03/09/2026 08:02;" 317° 46' 13.06169""";"  79° 41' 07.35069""";345.464;Atmos PPM;0;1013.25;11.1012;175860.618;9045885.585;140.804;176089.028;9045633.904;78.939;340.026;339.874
CND_1602;03/09/2026 08:02;" 317° 50' 30.89014""";"  78° 12' 03.36990""";403.378;Atmos PPM;0;1013.25;11.1012;175824.041;9045926.624;161.432;176089.028;9045633.904;78.939;394.845;394.845
CND_1504;03/09/2026 08:03;" 320° 45' 24.82339""";"  78° 43' 28.57094""";370.088;Atmos PPM;0;1013.25;11.1012;175859.454;9045915.007;151.31;176089.028;9045633.904;78.939;362.974;362.936
CND_210_5;03/09/2026 08:03;" 320° 50' 26.93442""";"  77° 01' 21.64357""";587.597;Atmos PPM;0;1013.25;11.1012;175727.5;9046077.903;210.915;176089.028;9045633.904;78.939;572.641;572.571
CND_190_6;03/09/2026 08:03;" 321° 21' 25.54337""";"  77° 52' 39.94983""";529.234;Atmos PPM;0;1013.25;11.1012;175765.953;9046038.062;190.095;176089.028;9045633.904;78.939;517.464;517.418
CND_26;03/09/2026 08:03;" 321° 48' 38.03518""";"  82° 11' 22.75098""";231.313;Atmos PPM;0;1013.25;11.1012;175947.36;9045814.032;110.377;176089.028;9045633.904;78.939;229.307;229.163
CND_30;03/09/2026 08:03;" 323° 47' 15.30034""";"  80° 41' 06.91485""";257.39;Atmos PPM;0;1013.25;11.1012;175938.992;9045838.845;120.604;176089.028;9045633.904;78.939;254.209;253.991
CND_1402;03/09/2026 08:03;" 325° 03' 32.95170""";"  79° 32' 25.11015""";340.05;Atmos PPM;0;1013.25;11.1012;175897.535;9045908.037;140.681;176089.028;9045633.904;78.939;334.538;334.392
CND_200_6;03/09/2026 08:03;" 325° 15' 06.49728""";"  77° 24' 55.84940""";553.592;Atmos PPM;0;1013.25;11.1012;175781.124;9046077.856;199.575;176089.028;9045633.904;78.939;540.325;540.276
CND_1603;03/09/2026 08:04;" 325° 30' 41.56227""";"  78° 11' 56.68941""";397.916;Atmos PPM;0;1013.25;11.1012;175868.507;9045954.961;160.328;176089.028;9045633.904;78.939;389.496;389.496
CND_210_6;03/09/2026 08:04;" 328° 34' 42.54535""";"  76° 54' 32.49038""";582.157;Atmos PPM;0;1013.25;11.1012;175793.47;9046117.79;210.818;176089.028;9045633.904;78.939;567.059;567.01
CND_1503;03/09/2026 08:04;" 328° 44' 19.71748""";"  78° 43' 00.97369""";367.859;Atmos PPM;0;1013.25;11.1012;175901.851;9045942.285;150.922;176089.028;9045633.904;78.939;360.776;360.741
CND_34;03/09/2026 08:04;" 330° 33' 59.96783""";"  80° 30' 48.00039""";315.764;Atmos PPM;0;1013.25;11.1012;175936.007;9045905.158;130.989;176089.028;9045633.904;78.939;311.606;311.439
CND_200_7;03/09/2026 08:04;" 332° 03' 34.03864""";"  77° 26' 32.51888""";554.823;Atmos PPM;0;1013.25;11.1012;175835.33;9046112.335;199.59;176089.028;9045633.904;78.939;541.571;541.534
CND_1604;03/09/2026 08:04;" 332° 27' 38.77039""";"  78° 10' 04.27353""";397.114;Atmos PPM;0;1013.25;11.1012;175909.355;9045978.549;160.376;176089.028;9045633.904;78.939;388.706;388.667
CND_27;03/09/2026 08:05;" 332° 40' 58.83206""";"  82° 13' 55.64425""";231.131;Atmos PPM;0;1013.25;11.1012;175983.951;9045837.381;110.182;176089.028;9045633.904;78.939;229.13;229.006
CND_22;03/09/2026 08:05;" 334° 37' 14.63139""";"  80° 44' 18.91268""";259.96;Atmos PPM;0;1013.25;11.1012;175979.081;9045865.719;120.781;176089.028;9045633.904;78.939;256.724;256.566
CND_210_7;03/09/2026 08:05;" 337° 51' 19.02072""";"  77° 09' 29.72304""";585;Atmos PPM;0;1013.25;11.1012;175874.081;9046162.2;208.983;176089.028;9045633.904;78.939;570.387;570.35
CND_36;03/09/2026 08:07;" 346° 51' 02.79051""";"  80° 56' 14.54404""";333.035;Atmos PPM;0;1013.25;11.1012;176014.241;9045954.159;131.404;176089.028;9045633.904;78.939;328.884;328.871
CND_1803;03/09/2026 08:07;" 348° 01' 18.46271""";"  78° 12' 07.30436""";498.573;Atmos PPM;0;1013.25;11.1012;175987.783;9046111.314;180.894;176089.028;9045633.904;78.939;488.054;488.028
CND_23;03/09/2026 08:07;" 348° 36' 45.49686""";"  78° 49' 27.10103""";391.407;Atmos PPM;0;1013.25;11.1012;176013.247;9046010.328;154.812;176089.028;9045633.904;78.939;383.951;383.976
CND_1901;03/09/2026 08:07;" 350° 13' 38.32480""";"  77° 55' 46.31431""";536.182;Atmos PPM;0;1013.25;11.1012;176000.075;9046150.616;191.081;176089.028;9045633.904;78.939;524.343;524.312
CND_20;03/09/2026 08:08;" 359° 04' 46.68710""";"  83° 56' 59.89968""";203.552;Atmos PPM;0;1013.25;11.1012;176085.794;9045836.293;100.396;176089.028;9045633.904;78.939;202.449;202.415
CND_18;03/09/2026 08:08;"   0° 50' 58.85885""";"  86° 10' 48.24517""";178.313;Atmos PPM;0;1013.25;11.1012;176091.682;9045811.799;90.821;176089.028;9045633.904;78.939;177.925;177.914
CND_17;03/09/2026 08:08;"  11° 43' 30.02270""";"  86° 38' 49.73206""";208.078;Atmos PPM;0;1013.25;11.1012;176131.257;9045837.285;91.111;176089.028;9045633.904;78.939;207.753;207.719
CND_30002;03/09/2026 10:00;" 289° 14' 40.81028""";"  79° 29' 07.64877""";723.074;Atmos PPM;0;1013.25;11.1012;175417.864;9045868.278;210.924;176089.028;9045633.904;78.939;710.915;710.91
CND_30003;03/09/2026 10:00;" 290° 56' 16.41677""";"  79° 32' 51.95117""";674.095;Atmos PPM;0;1013.25;11.1012;175469.93;9045870.844;201.261;176089.028;9045633.904;78.939;662.894;662.889
CND_30004;03/09/2026 10:00;" 291° 25' 41.75172""";"  79° 53' 00.24021""";637.675;Atmos PPM;0;1013.25;11.1012;175504.697;9045863.29;190.975;176089.028;9045633.904;78.939;627.75;627.743
CND_170_1;03/09/2026 10:00;" 298° 32' 42.07861""";"  79° 40' 27.03196""";508.767;Atmos PPM;0;1013.25;11.1012;175649.376;9045873.112;170.15;176089.028;9045633.904;78.939;500.548;500.514
CND_190_3;03/09/2026 10:00;" 298° 34' 32.88608""";"  78° 59' 21.12383""";594.721;Atmos PPM;0;1013.25;11.1012;175576.406;9045913.17;192.551;176089.028;9045633.904;78.939;583.897;583.756
CND_180_2;03/09/2026 10:01;" 298° 59' 59.89485""";"  79° 34' 23.70626""";553.866;Atmos PPM;0;1013.25;11.1012;175612.641;9045898.022;179.197;176089.028;9045633.904;78.939;544.768;544.705
CND_210_3;03/09/2026 10:01;" 302° 54' 02.51975""";"  78° 03' 49.66280""";629.472;Atmos PPM;0;1013.25;11.1012;175571.987;9045968.464;209.154;176089.028;9045633.904;78.939;616.02;615.843
CND_200_3;03/09/2026 10:01;" 303° 25' 04.08124""";"  78° 15' 52.76169""";598.44;Atmos PPM;0;1013.25;11.1012;175600.007;9045956.631;200.68;176089.028;9045633.904;78.939;586.052;585.913
CND_200_8;03/09/2026 10:01;" 303° 25' 05.88606""";"  78° 15' 50.11043""";598.44;Atmos PPM;0;1013.25;11.1012;175600.011;9045956.635;200.687;176089.028;9045633.904;78.939;586.05;585.912
CND_190_4;03/09/2026 10:01;" 304° 23' 52.05414""";"  78° 35' 19.82480""";568.318;Atmos PPM;0;1013.25;11.1012;175629.398;9045948.65;191.401;176089.028;9045633.904;78.939;557.187;557.068
CND_200_4;03/09/2026 10:01;" 309° 34' 04.52342""";"  77° 58' 11.38109""";577.864;Atmos PPM;0;1013.25;11.1012;175653.397;9045993.941;199.403;176089.028;9045633.904;78.939;565.267;565.156
CND_1505;03/09/2026 10:01;" 310° 59' 41.25368""";"  79° 10' 44.79777""";381.65;Atmos PPM;0;1013.25;11.1012;175806.119;9045879.83;150.599;176089.028;9045633.904;78.939;374.89;374.856
CND_210_4;03/09/2026 10:01;" 311° 21' 22.02069""";"  77° 25' 46.84181""";600.881;Atmos PPM;0;1013.25;11.1012;175648.854;9046021.437;209.737;176089.028;9045633.904;78.939;586.567;586.459
CND_190_5;03/09/2026 10:01;" 312° 12' 20.80493""";"  78° 10' 53.83579""";542.239;Atmos PPM;0;1013.25;11.1012;175695.927;9045990.479;190.014;176089.028;9045633.904;78.939;530.796;530.729
CND_25;03/09/2026 10:02;" 313° 23' 17.36813""";"  82° 24' 43.46505""";237.06;Atmos PPM;0;1013.25;11.1012;175918.278;9045795.336;110.246;176089.028;9045633.904;78.939;235.096;234.98
CND_29;03/09/2026 10:02;" 313° 30' 22.36906""";"  80° 52' 44.83813""";264.294;Atmos PPM;0;1013.25;11.1012;175899.779;9045813.565;120.839;176089.028;9045633.904;78.939;261.111;260.947
CND_200_5;03/09/2026 10:02;" 316° 06' 24.36150""";"  77° 35' 26.02471""";562.269;Atmos PPM;0;1013.25;11.1012;175708.35;9046029.648;199.789;176089.028;9045633.904;78.939;549.185;549.116
CND_1401;03/09/2026 10:03;" 317° 46' 12.69749""";"  79° 41' 10.65266""";345.464;Atmos PPM;0;1013.25;11.1012;175860.617;9045885.586;140.798;176089.028;9045633.904;78.939;340.026;339.875
CND_1602;03/09/2026 10:03;" 317° 50' 30.86886""";"  78° 12' 05.46882""";403.378;Atmos PPM;0;1013.25;11.1012;175824.041;9045926.624;161.428;176089.028;9045633.904;78.939;394.845;394.846
CND_1504;03/09/2026 10:03;" 320° 45' 23.63886""";"  78° 43' 32.30489""";370.088;Atmos PPM;0;1013.25;11.1012;175859.452;9045915.006;151.303;176089.028;9045633.904;78.939;362.974;362.937
CND_210_5;03/09/2026 10:03;" 320° 50' 27.02301""";"  77° 01' 24.04725""";587.597;Atmos PPM;0;1013.25;11.1012;175727.499;9046077.905;210.909;176089.028;9045633.904;78.939;572.641;572.573
CND_190_6;03/09/2026 10:03;" 321° 21' 24.10808""";"  77° 52' 40.05147""";529.234;Atmos PPM;0;1013.25;11.1012;175765.95;9046038.06;190.095;176089.028;9045633.904;78.939;517.464;517.418
CND_26;03/09/2026 10:03;" 321° 48' 31.59523""";"  82° 11' 24.62348""";231.313;Atmos PPM;0;1013.25;11.1012;175947.354;9045814.028;110.375;176089.028;9045633.904;78.939;229.307;229.164
CND_30;03/09/2026 10:03;" 323° 47' 13.49249""";"  80° 41' 05.82087""";257.39;Atmos PPM;0;1013.25;11.1012;175938.991;9045838.844;120.605;176089.028;9045633.904;78.939;254.209;253.991
CND_1402;03/09/2026 10:04;" 325° 03' 32.19462""";"  79° 32' 25.66348""";340.05;Atmos PPM;0;1013.25;11.1012;175897.533;9045908.036;140.68;176089.028;9045633.904;78.939;334.538;334.393
CND_200_6;03/09/2026 10:04;" 325° 15' 03.84815""";"  77° 24' 58.06538""";553.592;Atmos PPM;0;1013.25;11.1012;175781.118;9046077.853;199.569;176089.028;9045633.904;78.939;540.325;540.277
CND_1603;03/09/2026 10:04;" 325° 30' 37.82294""";"  78° 11' 56.70947""";397.915;Atmos PPM;0;1013.25;11.1012;175868.501;9045954.957;160.328;176089.028;9045633.904;78.939;389.496;389.496
CND_210_6;03/09/2026 10:04;" 328° 34' 39.69677""";"  76° 54' 33.53846""";582.157;Atmos PPM;0;1013.25;11.1012;175793.463;9046117.786;210.815;176089.028;9045633.904;78.939;567.059;567.01
CND_1503;03/09/2026 10:04;" 328° 44' 16.52675""";"  78° 43' 03.82886""";367.859;Atmos PPM;0;1013.25;11.1012;175901.846;9045942.283;150.917;176089.028;9045633.904;78.939;360.776;360.742
CND_34;03/09/2026 10:04;" 330° 33' 57.15148""";"  80° 30' 52.03979""";315.764;Atmos PPM;0;1013.25;11.1012;175936.002;9045905.157;130.983;176089.028;9045633.904;78.939;311.606;311.44
CND_200_7;03/09/2026 10:04;" 332° 03' 33.67303""";"  77° 26' 34.69018""";554.823;Atmos PPM;0;1013.25;11.1012;175835.328;9046112.336;199.584;176089.028;9045633.904;78.939;541.571;541.535
CND_1604;03/09/2026 10:05;" 332° 27' 35.98028""";"  78° 10' 05.88604""";397.114;Atmos PPM;0;1013.25;11.1012;175909.35;9045978.547;160.373;176089.028;9045633.904;78.939;388.706;388.668
CND_27;03/09/2026 10:05;" 332° 40' 55.36031""";"  82° 13' 58.25475""";231.131;Atmos PPM;0;1013.25;11.1012;175983.948;9045837.38;110.179;176089.028;9045633.904;78.939;229.13;229.007
CND_22;03/09/2026 10:05;" 334° 37' 12.38674""";"  80° 44' 17.98572""";259.96;Atmos PPM;0;1013.25;11.1012;175979.079;9045865.718;120.782;176089.028;9045633.904;78.939;256.724;256.566
CND_210_7;03/09/2026 10:06;" 337° 51' 19.44030""";"  77° 09' 28.98594""";585;Atmos PPM;0;1013.25;11.1012;175874.082;9046162.2;208.985;176089.028;9045633.904;78.939;570.387;570.349
CND_36;03/09/2026 10:07;" 346° 51' 03.34175""";"  80° 56' 13.47250""";333.035;Atmos PPM;0;1013.25;11.1012;176014.242;9045954.159;131.406;176089.028;9045633.904;78.939;328.884;328.871
CND_1803;03/09/2026 10:07;" 348° 01' 14.99803""";"  78° 12' 10.34281""";498.573;Atmos PPM;0;1013.25;11.1012;175987.775;9046111.314;180.887;176089.028;9045633.904;78.939;488.054;488.029
CND_23;03/09/2026 10:08;" 348° 36' 44.65583""";"  78° 49' 28.94218""";391.407;Atmos PPM;0;1013.25;11.1012;176013.246;9046010.328;154.808;176089.028;9045633.904;78.939;383.951;383.976
CND_1901;03/09/2026 10:08;" 350° 13' 37.54509""";"  77° 55' 48.44399""";536.181;Atmos PPM;0;1013.25;11.1012;176000.073;9046150.616;191.076;176089.028;9045633.904;78.939;524.343;524.313
CND_20;03/09/2026 10:08;" 359° 04' 44.11389""";"  83° 57' 02.18310""";203.552;Atmos PPM;0;1013.25;11.1012;176085.791;9045836.294;100.393;176089.028;9045633.904;78.939;202.449;202.415
CND_18;03/09/2026 10:08;"   0° 50' 56.93560""";"  86° 10' 55.36830""";178.313;Atmos PPM;0;1013.25;11.1012;176091.68;9045811.8;90.815;176089.028;9045633.904;78.939;177.925;177.915
CND_17;03/09/2026 10:08;"  11° 43' 29.03311""";"  86° 38' 52.81192""";208.078;Atmos PPM;0;1013.25;11.1012;176131.256;9045837.286;91.108;176089.028;9045633.904;78.939;207.753;207.719
CND_30002;03/09/2026 12:00;" 289° 14' 42.57883""";"  79° 29' 04.19562""";723.073;Atmos PPM;0;1013.25;11.1012;175417.868;9045868.283;210.936;176089.028;9045633.904;78.939;710.915;710.907
CND_30003;03/09/2026 12:00;" 290° 56' 11.33550""";"  79° 32' 48.38657""";674.095;Atmos PPM;0;1013.25;11.1012;175469.927;9045870.828;201.272;176089.028;9045633.904;78.939;662.894;662.887
CND_30004;03/09/2026 12:00;" 291° 25' 44.34462""";"  79° 53' 01.17650""";637.675;Atmos PPM;0;1013.25;11.1012;175504.699;9045863.298;190.972;176089.028;9045633.904;78.939;627.75;627.743
CND_170_1;03/09/2026 12:00;" 298° 32' 40.48678""";"  79° 40' 29.99349""";508.767;Atmos PPM;0;1013.25;11.1012;175649.372;9045873.109;170.143;176089.028;9045633.904;78.939;500.548;500.516
CND_190_3;03/09/2026 12:00;" 298° 34' 24.83464""";"  78° 59' 25.45683""";594.721;Atmos PPM;0;1013.25;11.1012;175576.393;9045913.151;192.538;176089.028;9045633.904;78.939;583.897;583.758
CND_180_2;03/09/2026 12:01;" 298° 59' 57.86735""";"  79° 34' 23.51106""";553.865;Atmos PPM;0;1013.25;11.1012;175612.638;9045898.017;179.197;176089.028;9045633.904;78.939;544.768;544.705
CND_210_3;03/09/2026 12:01;" 302° 53' 58.94320""";"  78° 03' 51.96604""";629.472;Atmos PPM;0;1013.25;11.1012;175571.98;9045968.456;209.147;176089.028;9045633.904;78.939;616.02;615.844
CND_200_3;03/09/2026 12:01;" 303° 25' 02.50392""";"  78° 15' 53.39366""";598.439;Atmos PPM;0;1013.25;11.1012;175600.005;9045956.627;200.678;176089.028;9045633.904;78.939;586.052;585.913
CND_200_8;03/09/2026 12:01;" 303° 25' 00.73279""";"  78° 15' 50.73979""";598.439;Atmos PPM;0;1013.25;11.1012;175600.003;9045956.622;200.686;176089.028;9045633.904;78.939;586.05;585.911
CND_190_4;03/09/2026 12:01;" 304° 23' 43.67553""";"  78° 35' 19.93568""";568.318;Atmos PPM;0;1013.25;11.1012;175629.386;9045948.631;191.401;176089.028;9045633.904;78.939;557.187;557.068
CND_200_4;03/09/2026 12:01;" 309° 34' 02.00836""";"  77° 58' 10.32754""";577.864;Atmos PPM;0;1013.25;11.1012;175653.393;9045993.935;199.406;176089.028;9045633.904;78.939;565.267;565.155
CND_1505;03/09/2026 12:01;" 310° 59' 39.89405""";"  79° 10' 44.12825""";381.65;Atmos PPM;0;1013.25;11.1012;175806.118;9045879.828;150.601;176089.028;9045633.904;78.939;374.89;374.855
CND_210_4;03/09/2026 12:01;" 311° 21' 21.41243""";"  77° 25' 49.24220""";600.881;Atmos PPM;0;1013.25;11.1012;175648.852;9046021.436;209.73;176089.028;9045633.904;78.939;586.567;586.461
CND_190_5;03/09/2026 12:01;" 312° 12' 16.71690""";"  78° 10' 51.39484""";542.239;Atmos PPM;0;1013.25;11.1012;175695.921;9045990.47;190.021;176089.028;9045633.904;78.939;530.796;530.728
CND_25;03/09/2026 12:02;" 313° 23' 16.25183""";"  82° 24' 42.89788""";237.06;Atmos PPM;0;1013.25;11.1012;175918.277;9045795.335;110.247;176089.028;9045633.904;78.939;235.096;234.98
