Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_1503;01/09/2026 14:04;" 328° 44' 16.09211""";"  78° 43' 00.56399""";367.859;Atmos PPM;0;1013.25;11.1012;175901.846;9045942.282;150.923;176089.028;9045633.904;78.939;360.776;360.741
CND_34;01/09/2026 14:04;" 330° 33' 54.49591""";"  80° 30' 51.49602""";315.764;Atmos PPM;0;1013.25;11.1012;175935.999;9045905.155;130.984;176089.028;9045633.904;78.939;311.606;311.44
CND_200_7;01/09/2026 14:04;" 332° 03' 29.51642""";"  77° 26' 36.20472""";554.823;Atmos PPM;0;1013.25;11.1012;175835.318;9046112.332;199.58;176089.028;9045633.904;78.939;541.571;541.537
CND_1604;01/09/2026 14:04;" 332° 27' 34.16186""";"  78° 10' 03.85814""";397.115;Atmos PPM;0;1013.25;11.1012;175909.347;9045978.545;160.377;176089.028;9045633.904;78.939;388.706;388.668
CND_27;01/09/2026 14:05;" 332° 40' 52.14918""";"  82° 13' 59.66286""";231.131;Atmos PPM;0;1013.25;11.1012;175983.944;9045837.378;110.178;176089.028;9045633.904;78.939;229.13;229.007
CND_22;01/09/2026 14:05;" 334° 37' 10.64519""";"  80° 44' 19.80519""";259.96;Atmos PPM;0;1013.25;11.1012;175979.077;9045865.717;120.78;176089.028;9045633.904;78.939;256.724;256.566
CND_1403;01/09/2026 14:05;" 335° 13' 49.87724""";"  79° 30' 34.85355""";347.085;Atmos PPM;0;1013.25;11.1012;175946.07;9045943.795;142.141;176089.028;9045633.904;78.939;341.371;341.276
CND_210_7;01/09/2026 14:05;" 337° 51' 18.10253""";"  77° 09' 31.13899""";585;Atmos PPM;0;1013.25;11.1012;175874.078;9046162.2;208.979;176089.028;9045633.904;78.939;570.387;570.351
CND_14;01/09/2026 14:07;" 345° 49' 39.04804""";"  85° 42' 40.52134""";155.674;Atmos PPM;0;1013.25;11.1012;176051.033;9045784.418;90.582;176089.028;9045633.904;78.939;155.246;155.236
CND_36;01/09/2026 14:07;" 346° 51' 01.07295""";"  80° 56' 12.80538""";333.035;Atmos PPM;0;1013.25;11.1012;176014.238;9045954.158;131.407;176089.028;9045633.904;78.939;328.884;328.871
