kunci,point_id,seg,segmen_terakhir,kelas,skor_prioritas,status_data,easting,northing,rl,jarak_stasiun_m,az_los_deg,dip_lokal_deg,dipdir_lokal_deg,dev_los,proj_los,n_obs,n_hari,cakupan,tgl_awal,tgl_akhir,jam_sejak_akhir,d_turunlereng_mm,d_vertikal_mm,d_total_3d_mm,rasio_HV,plunge_deg,v_turunlereng_mmhari,v_vertikal_mmhari,v_ci95_mmhari,v_paruh1_mmhari,v_paruh2_mmhari,delta_v_mmhari,rezim,changepoint,changepoint_skor,inverse_velocity,t_turunlereng,t_vertikal,koherensi_tetangga,sigma_radial_mm,sigma_tangensial_mm,sigma_vertikal_mm,sd_harian_rad_mm,sd_harian_vert_mm,gerak_sejak_pasang_mm,tarp,catatan
CND_190_4#0,CND_190_4,0,True,P1-PRIORITAS,63.0041,AKTIF,175629.387,9045948.639,191.399,557.0709,304.401,20.4723,143.7893,-19.3883,0.9433,141,13,1.0,2026-09-01 14:01,2026-09-13 10:01,0.0333,11.1715,-1.7107,11.3018,,-8.7063,1.0166,-0.316,0.0726,0.9995,1.0504,0.0509,linier,2026-09-08 00:00,0.26,tidak_berlaku,23.4056,-0.9171,0.9984,0.6768,2.5109,2.8618,0.3184,1.319,-128.0,belum_dikonfigurasi,
CND_190_6#0,CND_190_6,0,True,P1-PRIORITAS,53.2934,TERPUTUS_BARU,175765.9475,9046038.06,190.0915,517.4196,321.3613,21.1463,146.7831,-5.4218,0.9955,124,11,1.0,2026-09-01 14:03,2026-09-12 00:03,34.0,3.8903,-2.5619,4.6581,1.5185,-33.3665,0.3811,-0.2753,0.0816,0.2605,0.5039,0.2433,progresif,,0.0,tidak_berlaku,9.714,-3.886,0.9952,0.5048,2.0048,1.9973,0.2819,0.4662,-50.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_190_3#0,CND_190_3,0,True,P2-PERHATIAN,50.7395,AKTIF,175576.401,9045913.164,192.555,583.7573,298.5799,18.2218,147.0521,-28.4722,0.879,140,13,1.0,2026-09-01 14:00,2026-09-13 10:01,0.0333,6.9591,-4.2107,8.1338,1.6527,-31.1763,0.6236,-0.3189,0.0689,0.6948,0.6239,-0.0709,linier,,0.07,tidak_berlaku,15.1307,-2.8823,0.9959,0.6464,3.2774,2.8096,0.2859,1.033,-147.0,belum_dikonfigurasi,
CND_180_2#0,CND_180_2,0,True,P2-PERHATIAN,41.4047,AKTIF,175612.6395,9045898.023,179.1995,544.7062,299.0048,18.2218,147.0521,-28.0473,0.8826,140,13,1.0,2026-09-01 14:01,2026-09-13 10:01,0.0333,4.5097,-3.1798,5.518,1.4183,-35.1872,0.4648,-0.1777,0.0819,0.6247,0.4449,-0.1798,regresif,,0.04,tidak_berlaku,7.5455,-1.7966,0.9867,0.6987,2.6513,3.637,0.373,1.2515,-68.0,belum_dikonfigurasi,
CND_200_7#0,CND_200_7,0,True,P2-PERHATIAN,39.5763,TERPUTUS_BARU,175835.3245,9046112.334,199.587,541.5355,332.0637,21.4489,147.6998,4.3639,0.9971,120,11,1.0,2026-09-01 14:04,2026-09-11 22:04,35.9833,1.518,-6.6343,6.8057,0.2288,-77.1119,0.1941,-0.5098,0.0766,0.1033,0.1409,0.0376,progresif,,0.0,tidak_berlaku,4.67,-5.3765,0.951,0.7199,3.0463,2.8664,0.2292,0.8725,-38.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_18#0,CND_18,0,True,P2-PERHATIAN,36.5709,HILANG,176091.6815,9045811.799,90.8265,177.9148,0.8546,15.9418,152.8423,28.0122,0.8828,54,5,1.0,2026-09-01 14:08,2026-09-06 00:07,177.9333,3.1843,-0.9978,3.3369,,-17.3994,0.9323,-0.2456,1.1085,,,,linier,,0.0,tidak_berlaku,3.1979,-0.9961,0.9451,0.8229,1.4935,3.0265,0.6216,0.7084,-14.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1505#0,CND_1505,0,True,P3-PANTAU RUTIN,34.4357,AKTIF,175806.121,9045879.832,150.601,374.8559,311.0001,15.5181,147.6989,-16.6988,0.9578,138,13,1.0,2026-09-01 14:01,2026-09-13 10:02,0.0167,-1.2693,-10.1589,10.2379,-0.1249,-82.8782,0.0617,-0.1399,0.1147,0.0377,-0.1661,-0.2038,stabil,,0.2,tidak_berlaku,-1.286,-2.1852,0.8849,0.6019,2.0063,2.6906,0.6685,3.2873,-30.0,belum_dikonfigurasi,duplikat_target: 1.0 mm
CND_1403#1,CND_1403,1,True,P3-PANTAU RUTIN,29.3471,TERPUTUS_BARU,175946.072,9045943.796,142.136,341.2762,335.2357,20.6276,147.7873,7.4484,0.9916,62,6,1.0,2026-09-06 10:06,2026-09-11 18:05,39.9667,-0.9195,-5.2914,5.3707,-0.1738,-80.142,-0.1839,-1.075,0.267,-0.204,0.0865,0.2905,progresif,,0.0,tidak_berlaku,-3.01,-5.3251,-0.7103,0.5589,1.5909,2.3074,0.2142,0.7026,-95.0,belum_dikonfigurasi,"tidak terukur 12-48 jam terakhir; segmen ke-2: baseline direset, perpindahan tidak disambung"
CND_1504#0,CND_1504,0,True,P3-PANTAU RUTIN,28.6666,TERPUTUS_BARU,175859.449,9045915.004,151.306,362.9376,320.7609,20.1459,146.6838,-5.9228,0.9947,119,11,1.0,2026-09-01 14:03,2026-09-11 22:03,36.0,0.4831,-1.5205,1.5954,,-72.3725,0.045,-0.1825,0.0631,-0.1305,0.1215,0.2521,stabil,,0.0,tidak_berlaku,1.5286,-2.1512,0.7567,0.5884,2.166,1.593,0.2223,0.4998,-38.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir; duplikat_target: 2.5 mm
CND_20#0,CND_20,0,True,P3-PANTAU RUTIN,24.1134,HILANG,176085.792,9045836.294,100.395,202.4159,359.084,14.1725,147.2595,31.8244,0.8497,72,7,1.0,2026-09-01 14:08,2026-09-07 22:07,131.9333,1.9599,-0.5126,2.0258,,-14.6561,0.3127,-0.0751,0.2368,0.2231,0.1745,-0.0486,regresif,,0.0,tidak_berlaku,5.323,-1.2303,0.6715,0.4179,1.2197,1.0811,0.2212,0.2946,-35.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target; duplikat_target: 1.118 mm
CND_170_1#0,CND_170_1,0,True,P3-PANTAU RUTIN,22.6797,AKTIF,175649.3735,9045873.11,170.1515,500.5153,298.5496,17.8456,145.5101,-26.9605,0.8913,133,13,1.0,2026-09-01 14:00,2026-09-13 10:01,0.0333,1.4428,-2.2106,2.6398,0.6527,-56.8679,0.1681,-0.1419,0.0448,0.2402,0.1352,-0.105,regresif,,0.01,tidak_berlaku,3.5569,-1.8151,0.9183,0.6197,2.2611,2.6444,0.2557,0.8612,-35.0,belum_dikonfigurasi,
CND_1603#1,CND_1603,1,True,P3-PANTAU RUTIN,22.0948,TERPUTUS_BARU,175868.5025,9045954.9585,160.3275,389.4965,325.5157,19.8153,146.4339,-0.9183,0.9999,108,10,1.0,2026-09-02 10:04,2026-09-11 22:04,35.9833,1.9439,-0.4441,1.994,,-12.8696,0.1507,-0.1438,0.0921,0.1214,0.0445,-0.0769,regresif,,0.0,tidak_berlaku,4.658,-0.3096,0.8088,0.6429,3.4037,2.566,0.2951,1.0143,-1.0,belum_dikonfigurasi,"tidak terukur 12-48 jam terakhir; segmen ke-2: baseline direset, perpindahan tidak disambung; swap_target: 41943.689 mm; duplikat_target: 2.5 mm"
CND_23#0,CND_23,0,True,P3-PANTAU RUTIN,21.8527,TERPUTUS_BARU,176013.2445,9046010.328,154.81,383.9768,348.6171,18.6488,148.6351,19.982,0.9398,117,11,1.0,2026-09-01 14:08,2026-09-11 16:06,41.95,-1.7689,-1.7064,2.4578,,-43.9704,-0.2045,-0.1583,0.0825,-0.2532,0.0529,0.3061,progresif,,0.0,tidak_berlaku,-3.8312,-2.5129,-0.0339,0.7937,2.3353,2.2366,0.3068,0.4802,26.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_1503#0,CND_1503,0,True,P3-PANTAU RUTIN,20.8704,TERPUTUS_BARU,175901.8465,9045942.283,150.922,360.7416,328.7429,19.9011,146.2217,2.5211,0.999,117,11,1.0,2026-09-01 14:04,2026-09-11 18:04,39.9833,0.7373,0.2521,0.7792,,18.8735,0.0818,0.0232,0.0594,-0.0537,0.1226,0.1763,stabil,,0.0,tidak_berlaku,2.8433,0.3028,0.4169,0.4786,1.9403,1.7247,0.1832,0.5885,-36.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_34#0,CND_34,0,True,P3-PANTAU RUTIN,20.5805,HILANG,175936.001,9045905.155,130.9885,311.4392,330.5704,15.4622,141.4592,9.1111,0.9874,89,8,1.0,2026-09-01 14:04,2026-09-09 02:04,103.9833,0.7336,2.7149,2.8122,0.2702,74.8786,0.0779,0.4024,0.0778,0.0233,0.1539,0.1306,stabil,,0.0,tidak_berlaku,4.7291,4.0417,-0.1029,0.4086,1.258,1.4826,0.1083,0.475,-167.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1604#0,CND_1604,0,True,P3-PANTAU RUTIN,18.3372,TERPUTUS_BARU,175909.3505,9045978.548,160.3745,388.6689,332.4651,20.5944,146.5017,5.9634,0.9946,108,11,1.0,2026-09-01 14:04,2026-09-11 20:04,37.9833,1.5597,-1.6238,2.2515,,-46.1536,0.1385,-0.2508,0.0411,0.3188,0.0991,-0.2197,regresif,,0.0,tidak_berlaku,5.2142,-0.9252,0.3778,0.6579,2.6236,2.3696,0.2104,1.241,-41.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
