point_id,seg,waktu,cycle,d_rad,d_tan,dZ,d_rad_c,d_tan_c,dZ_c,jarak_m
CND_14,0,2026-09-01 14:07,0,0.734,2.909,-8.5,0.734,2.412,-8.499,155.235
CND_14,0,2026-09-01 16:06,1,0.0,-0.0,-0.5,0.004,-0.363,-0.478,155.235
CND_14,0,2026-09-01 18:06,2,0.0,-0.0,0.5,0.008,-0.0,0.542,155.235
CND_14,0,2026-09-01 20:06,3,0.0,-0.0,0.5,0.012,0.164,0.563,155.235
CND_14,0,2026-09-01 22:06,4,-0.245,-0.97,0.5,-0.229,-0.895,0.584,155.235
CND_14,0,2026-09-02 00:06,5,0.725,-1.214,-0.5,0.744,-1.214,-0.396,155.235
CND_14,0,2026-09-02 02:06,6,0.0,-0.0,1.5,0.023,-0.0,1.625,155.235
CND_14,0,2026-09-02 04:06,7,0.0,-0.0,0.5,0.027,-0.253,0.646,155.235
CND_14,0,2026-09-02 06:06,8,0.725,-1.214,0.5,0.755,-1.411,0.666,155.235
CND_14,0,2026-09-02 08:06,9,0.48,-2.184,-0.5,0.514,-0.181,-0.313,155.235
CND_14,0,2026-09-02 10:07,10,0.0,-0.0,-3.5,0.038,0.31,-3.292,155.235
CND_14,0,2026-09-02 12:07,11,0.979,3.878,-9.5,1.021,1.14,-9.272,155.235
CND_14,0,2026-09-02 14:06,12,0.734,2.909,-4.5,0.78,0.17,-4.251,155.235
CND_14,0,2026-09-02 16:06,13,-0.235,3.154,0.5,-0.186,0.86,0.77,155.235
CND_14,0,2026-09-02 18:05,14,0.0,-0.0,-0.5,0.053,-0.277,-0.21,155.235
CND_14,0,2026-09-02 20:06,15,0.0,-0.0,-0.5,0.057,-0.266,-0.189,155.235
CND_1401,0,2026-09-01 14:02,0,0.068,-1.413,-0.5,0.069,-2.501,-0.5,339.875
CND_1401,0,2026-09-01 16:02,1,-0.068,1.413,-1.5,-0.06,0.617,-1.479,339.875
CND_1401,0,2026-09-01 18:02,2,0.0,-0.0,0.5,0.017,-0.0,0.542,339.875
CND_1401,0,2026-09-01 20:02,3,0.0,-0.0,-1.5,0.025,0.359,-1.438,339.875
CND_1401,0,2026-09-01 22:02,4,0.0,-0.0,0.5,0.033,0.162,0.583,339.875
CND_1401,0,2026-09-02 00:02,5,0.068,-1.413,0.5,0.11,-1.413,0.604,339.875
CND_1401,0,2026-09-02 02:02,6,0.0,-0.0,1.5,0.05,-0.0,1.624,339.875
CND_1401,0,2026-09-02 04:02,7,0.0,-0.0,1.5,0.058,-0.553,1.645,339.875
CND_1401,0,2026-09-02 06:02,8,-0.068,1.413,1.5,-0.002,0.982,1.666,339.875
CND_1401,0,2026-09-02 08:02,9,-0.467,-4.978,3.5,-0.392,-0.593,3.686,339.875
CND_1401,0,2026-09-02 10:03,10,0.068,-1.413,-2.5,0.152,-0.734,-2.293,339.875
CND_1401,0,2026-09-02 12:02,11,-0.205,4.238,0.5,-0.114,-1.758,0.728,339.875
CND_1401,0,2026-09-02 14:02,12,0.33,7.803,-4.5,0.429,1.807,-4.252,339.875
CND_1401,0,2026-09-02 16:02,13,0.467,4.978,-3.5,0.575,-0.043,-3.231,339.875
CND_1401,0,2026-09-02 18:02,14,0.0,-0.0,-1.5,0.116,-0.607,-1.21,339.875
CND_1401,0,2026-09-02 20:02,15,-0.068,1.413,0.5,0.056,0.829,0.81,339.875
CND_1401,0,2026-09-02 22:02,16,-0.809,2.085,1.5,-0.676,1.134,1.831,339.875
CND_1401,0,2026-09-03 00:02,17,-0.068,1.413,0.5,0.073,0.084,0.852,339.875
CND_1401,0,2026-09-03 02:02,18,-0.809,2.085,1.5,-0.66,0.588,1.872,339.875
CND_1401,0,2026-09-03 04:02,19,-0.068,1.413,0.5,0.089,0.02,0.893,339.875
CND_1401,0,2026-09-03 06:02,20,-0.741,0.672,4.5,-0.575,1.473,4.914,339.875
CND_1401,0,2026-09-03 08:02,21,-1.276,-2.894,3.5,-1.101,1.383,3.934,339.875
CND_1401,0,2026-09-03 10:03,22,0.137,-2.825,-2.5,0.319,-1.667,-2.045,339.875
CND_1401,0,2026-09-03 12:02,23,-1.207,-4.306,1.5,-1.016,-8.678,1.976,339.875
CND_1401,0,2026-09-03 14:02,24,-1.014,6.322,-0.5,-0.815,0.067,-0.004,339.875
CND_1401,0,2026-09-03 16:02,25,-1.481,1.344,2.5,-1.274,-1.954,3.017,339.875
CND_1401,0,2026-09-03 18:02,26,-0.741,0.672,-1.5,-0.525,0.539,-0.962,339.875
CND_1401,0,2026-09-03 20:02,27,-0.672,-0.741,-1.5,-0.448,-0.664,-0.942,339.875
CND_1401,0,2026-09-03 22:02,28,-0.741,0.672,0.5,-0.508,0.672,1.079,339.875
CND_1401,0,2026-09-04 00:02,29,-0.809,2.085,0.5,-0.568,1.799,1.1,339.875
CND_1401,0,2026-09-04 02:02,30,-0.672,-0.741,-1.5,-0.423,-0.986,-0.88,339.875
CND_1401,0,2026-09-04 04:02,31,-0.809,2.085,0.5,-0.552,1.349,1.141,339.875
CND_1401,0,2026-09-04 06:02,32,-0.604,-2.153,1.5,-0.338,-0.477,2.162,339.875
CND_1401,0,2026-09-04 08:02,33,-0.535,-3.566,-0.5,-0.261,-0.888,0.182,339.875
CND_1401,0,2026-09-04 10:02,34,-0.604,-2.153,-3.5,-0.322,-0.741,-2.797,339.875
CND_1401,0,2026-09-04 12:03,35,-0.137,2.825,-2.5,0.153,-1.834,-1.776,339.875
CND_1401,0,2026-09-04 14:02,36,-0.877,3.497,-0.5,-0.579,-1.594,0.244,339.875
CND_1401,0,2026-09-04 16:02,37,-1.686,5.582,0.5,-1.38,-1.041,1.265,339.875
CND_1401,0,2026-09-04 18:02,38,-0.068,1.413,-1.5,0.247,1.671,-0.715,339.875
CND_1401,0,2026-09-04 20:02,39,-0.672,-0.741,0.5,-0.349,-0.219,1.306,339.875
CND_1401,0,2026-09-04 22:02,40,0.0,-0.0,0.5,0.332,0.204,1.327,339.875
CND_1401,0,2026-09-05 00:02,41,-1.413,-0.068,4.5,-1.073,-0.537,5.347,339.875
CND_1401,0,2026-09-05 02:02,42,-1.481,1.344,3.5,-1.133,1.327,4.368,339.875
CND_1401,0,2026-09-05 04:02,43,-0.809,2.085,3.5,-0.452,1.915,4.389,339.875
CND_1401,0,2026-09-05 06:02,44,-0.604,-2.153,1.5,-0.239,0.844,2.409,339.875
CND_1401,0,2026-09-05 08:03,45,-0.933,-9.956,1.5,-0.56,-3.684,2.43,339.875
CND_1401,0,2026-09-05 10:02,46,0.685,-14.126,-7.5,1.066,-11.836,-6.549,339.875
CND_1401,0,2026-09-05 12:02,47,-0.741,0.672,-1.5,-0.351,-2.713,-0.529,339.875
CND_1401,0,2026-09-05 16:03,49,-0.274,5.65,-5.5,0.132,-0.04,-4.487,339.875
CND_1401,0,2026-09-05 18:02,50,0.0,-0.0,-1.5,0.415,1.288,-0.467,339.875
CND_1401,0,2026-09-05 20:04,51,0.068,-1.413,-1.5,0.491,-0.05,-0.446,339.875
CND_1401,0,2026-09-05 22:02,52,-0.741,0.672,0.5,-0.309,1.99,1.575,339.875
CND_1401,0,2026-09-06 00:02,53,-0.741,0.672,0.5,-0.301,0.994,1.595,339.875
CND_1401,0,2026-09-06 02:02,54,-1.413,-0.068,0.5,-0.965,0.3,1.616,339.875
CND_1401,0,2026-09-06 04:02,55,-0.672,-0.741,1.5,-0.216,-0.535,2.637,339.875
CND_1401,0,2026-09-06 06:02,56,-0.672,-0.741,-0.5,-0.208,-0.4,0.657,339.875
CND_1401,0,2026-09-06 10:02,58,-0.467,-4.978,-3.5,0.014,-2.131,-2.301,339.875
CND_1401,0,2026-09-06 12:03,59,0.068,-1.413,-6.5,0.558,-1.695,-5.28,339.875
CND_1401,0,2026-09-06 14:02,60,-1.207,-4.306,-0.5,-0.71,-2.925,0.74,339.875
CND_1401,0,2026-09-06 16:02,61,-1.413,-0.068,4.5,-0.907,0.847,5.761,339.875
CND_1401,0,2026-09-06 20:02,63,0.137,-2.825,-3.5,0.659,-1.46,-2.198,339.875
CND_1401,0,2026-09-07 06:02,68,-1.742,-7.872,8.5,-1.179,-6.307,9.905,339.875
CND_1401,0,2026-09-07 08:03,69,-0.467,-4.978,-0.5,0.105,-1.004,0.926,339.875
CND_1401,0,2026-09-07 10:02,70,-0.672,-0.741,-2.5,-0.092,0.498,-1.053,339.875
CND_1401,0,2026-09-07 12:03,71,-0.809,2.085,-3.5,-0.22,-0.036,-2.033,339.875
CND_1401,0,2026-09-07 18:03,73,0.205,-4.238,-2.5,0.819,-2.76,-0.971,339.875
CND_1401,0,2026-09-08 06:03,79,0.068,-1.413,-0.5,0.732,-0.818,1.153,339.875
CND_1401,0,2026-09-08 08:03,80,-1.07,-7.131,-0.5,-0.399,-0.813,1.174,339.875
CND_1401,0,2026-09-08 14:02,83,-1.276,-2.894,-0.5,-0.579,-3.987,1.236,339.875
CND_1401,0,2026-09-08 16:03,84,-1.276,-2.894,1.5,-0.571,-1.184,3.257,339.875
CND_1402,0,2026-09-01 14:04,0,-0.494,2.785,1.0,-0.494,1.715,1.001,334.393
CND_1402,0,2026-09-01 16:03,1,0.82,-0.573,-2.0,0.828,-1.355,-1.979,334.393
CND_1402,0,2026-09-01 18:03,2,0.247,-1.392,0.0,0.264,-1.392,0.042,334.393
CND_1402,0,2026-09-01 20:03,3,0.0,-0.0,-1.0,0.025,0.353,-0.938,334.393
CND_1402,0,2026-09-01 22:03,4,-0.573,-0.82,1.0,-0.54,-0.66,1.083,334.393
CND_1402,0,2026-09-02 00:03,5,0.0,-0.0,0.0,0.041,-0.0,0.104,334.393
CND_1402,0,2026-09-02 02:03,6,0.0,-0.0,1.0,0.049,-0.0,1.124,334.393
CND_1402,0,2026-09-02 04:03,7,0.0,-0.0,1.0,0.057,-0.544,1.145,334.393
CND_1402,0,2026-09-02 06:03,8,0.247,-1.392,-1.0,0.313,-1.816,-0.834,334.393
CND_1402,0,2026-09-02 08:03,9,-0.651,-4.424,3.0,-0.578,-0.11,3.186,334.393
CND_1402,0,2026-09-02 10:04,10,0.573,0.82,-2.0,0.654,1.487,-1.793,334.393
CND_1402,0,2026-09-02 12:04,11,-0.741,4.177,3.0,-0.651,-1.722,3.228,334.393
CND_1402,0,2026-09-02 14:03,12,0.0,-0.0,0.0,0.098,-5.899,0.248,334.393
CND_1402,0,2026-09-02 16:03,13,0.078,3.605,-2.0,0.185,-1.335,-1.731,334.393
CND_1402,0,2026-09-02 18:03,14,0.326,2.212,-1.0,0.44,1.615,-0.71,334.393
CND_1402,0,2026-09-02 20:03,15,0.0,-0.0,-1.0,0.123,-0.574,-0.69,334.393
CND_1402,0,2026-09-02 22:03,16,-0.247,1.392,-1.0,-0.116,0.457,-0.669,334.393
CND_1402,0,2026-09-03 00:03,17,-0.247,1.392,0.0,-0.108,0.085,0.352,334.393
CND_1402,0,2026-09-03 02:03,18,0.0,-0.0,1.0,0.147,-1.472,1.372,334.393
CND_1402,0,2026-09-03 04:03,19,-0.247,1.392,1.0,-0.092,0.023,1.393,334.393
CND_1402,0,2026-09-03 06:03,20,0.247,-1.392,0.0,0.41,-0.605,0.414,334.393
CND_1402,0,2026-09-03 08:03,21,-0.404,-5.817,1.0,-0.233,-1.609,1.434,334.393
CND_1402,0,2026-09-03 10:04,22,-0.078,-3.605,0.0,0.101,-2.465,0.455,334.393
CND_1402,0,2026-09-03 12:03,23,-0.416,6.39,1.0,-0.228,2.088,1.476,334.393
CND_1402,0,2026-09-03 14:03,24,-0.416,6.39,-2.0,-0.22,0.235,-1.504,334.393
CND_1402,0,2026-09-03 16:03,25,-0.494,2.785,1.0,-0.29,-0.46,1.517,334.393
CND_1402,0,2026-09-03 18:03,26,0.0,-0.0,-1.0,0.212,-0.131,-0.462,334.393
CND_1402,0,2026-09-03 20:03,27,-0.573,-0.82,-1.0,-0.352,-0.744,-0.442,334.393
CND_1402,0,2026-09-03 22:03,28,-0.573,-0.82,1.0,-0.344,-0.82,1.579,334.393
CND_1402,0,2026-09-04 00:03,29,0.82,-0.573,-2.0,1.056,-0.854,-1.4,334.393
CND_1402,0,2026-09-04 02:03,30,0.573,0.82,-2.0,0.818,0.578,-1.38,334.393
CND_1402,0,2026-09-04 04:03,31,-0.247,1.392,0.0,0.006,0.669,0.641,334.393
CND_1402,0,2026-09-04 06:03,32,-0.573,-0.82,2.0,-0.312,0.829,2.662,334.393
CND_1402,0,2026-09-04 08:03,33,-0.078,-3.605,-1.0,0.191,-0.97,-0.318,334.393
CND_1402,0,2026-09-04 10:04,34,-0.078,-3.605,-2.0,0.199,-2.215,-1.297,334.393
CND_1402,0,2026-09-04 12:04,35,-0.169,4.997,-1.0,0.117,0.413,-0.276,334.393
CND_1402,0,2026-09-04 14:04,36,-0.741,4.177,3.0,-0.448,-0.831,3.744,334.393
CND_1402,0,2026-09-04 16:03,37,-0.416,6.39,0.0,-0.114,-0.126,0.765,334.393
CND_1402,0,2026-09-04 18:03,38,0.573,0.82,-2.0,0.883,1.074,-1.214,334.393
CND_1402,0,2026-09-04 20:03,39,0.0,-0.0,0.0,0.318,0.513,0.806,334.393
CND_1402,0,2026-09-04 22:03,40,0.0,-0.0,2.0,0.326,0.201,2.827,334.393
CND_1402,0,2026-09-05 00:03,41,0.0,-0.0,1.0,0.335,-0.461,1.848,334.393
CND_1402,0,2026-09-05 02:03,42,0.247,-1.392,1.0,0.59,-1.409,1.868,334.393
CND_1402,0,2026-09-05 04:03,43,0.0,-0.0,0.0,0.351,-0.167,0.889,334.393
CND_1402,0,2026-09-05 06:03,44,-0.078,-3.605,0.0,0.281,-0.656,0.91,334.393
CND_1402,0,2026-09-05 08:04,45,-1.224,-5.244,3.0,-0.857,0.927,3.93,334.393
CND_1402,0,2026-09-05 10:03,46,-0.977,-6.637,1.0,-0.601,-4.384,1.951,334.393
CND_1402,0,2026-09-05 12:04,47,0.078,3.605,-1.0,0.462,0.275,-0.028,334.393
CND_1402,0,2026-09-05 14:04,48,0.0,-0.0,-2.0,0.392,-4.449,-1.008,334.393
CND_1402,0,2026-09-05 16:04,49,-0.169,4.997,-3.0,0.231,-0.601,-1.987,334.393
CND_1402,0,2026-09-05 18:04,50,-0.326,-2.212,0.0,0.082,-0.945,1.034,334.393
CND_1402,0,2026-09-05 20:05,51,-0.573,-0.82,-1.0,-0.156,0.521,0.055,334.393
CND_1402,0,2026-09-05 22:04,52,0.247,-1.392,-1.0,0.671,-0.096,0.075,334.393
CND_1402,0,2026-09-06 00:03,53,0.169,-4.997,-2.0,0.601,-4.681,-0.904,334.393
CND_1402,0,2026-09-06 02:03,54,0.741,-4.177,-5.0,1.182,-3.815,-3.884,334.393
CND_1402,0,2026-09-06 04:03,55,-0.078,-3.605,-2.0,0.37,-3.402,-0.863,334.393
CND_1402,0,2026-09-06 06:03,56,0.988,-5.57,-5.0,1.445,-5.235,-3.842,334.393
CND_1402,0,2026-09-06 10:04,58,0.169,-4.997,-4.0,0.642,-2.195,-2.801,334.393
CND_1402,0,2026-09-06 12:03,59,0.0,-0.0,-5.0,0.481,-0.278,-3.78,334.393
CND_1402,0,2026-09-06 14:03,60,-0.157,-7.209,-3.0,0.333,-5.851,-1.76,334.393
CND_1402,0,2026-09-06 16:04,61,-0.326,-2.212,-1.0,0.172,-1.311,0.261,334.393
CND_1402,0,2026-09-06 18:04,62,-0.078,-3.605,-2.0,0.427,-2.788,-0.718,334.393
CND_1402,0,2026-09-06 20:04,63,-0.573,-0.82,-1.0,-0.059,0.524,0.302,334.393
CND_1402,0,2026-09-06 22:03,64,-0.326,-2.212,2.0,0.197,-1.303,3.323,334.393
CND_1402,0,2026-09-07 00:03,65,-0.078,-3.605,0.0,0.452,-3.016,1.343,334.393
CND_1402,0,2026-09-07 02:03,66,-0.326,-2.212,0.0,0.213,-1.52,1.364,334.393
CND_1402,0,2026-09-07 04:03,67,-0.326,-2.212,0.0,0.221,-0.854,1.385,334.393
CND_1402,0,2026-09-07 08:04,69,-0.404,-5.817,0.0,0.159,-1.907,1.426,334.393
CND_1402,0,2026-09-07 10:03,70,-0.73,-8.029,1.0,-0.159,-6.811,2.447,334.393
CND_1402,0,2026-09-07 12:04,71,0.898,3.032,-10.0,1.477,0.946,-8.532,334.393
CND_1402,0,2026-09-07 14:04,72,-0.741,4.177,0.0,-0.154,-0.18,1.488,334.393
CND_1402,0,2026-09-07 18:04,73,-0.898,-3.032,-1.0,-0.295,-1.579,0.53,334.393
CND_1402,0,2026-09-07 20:04,74,-0.326,-2.212,-1.0,0.286,-1.168,0.55,334.393
CND_1402,0,2026-09-07 22:03,75,-0.326,-2.212,-1.0,0.294,-1.528,0.571,334.393
CND_1402,0,2026-09-08 00:03,76,-0.326,-2.212,0.0,0.303,-1.7,1.591,334.393
CND_1402,0,2026-09-08 02:03,77,-0.573,-0.82,-1.0,0.064,-0.157,0.612,334.393
CND_1402,0,2026-09-08 04:03,78,-0.82,0.573,-1.0,-0.175,0.658,0.633,334.393
CND_1402,0,2026-09-08 06:04,79,-0.898,-3.032,-1.0,-0.246,-2.447,0.654,334.393
CND_1402,0,2026-09-08 08:04,80,-1.302,-8.849,3.0,-0.641,-2.633,4.674,334.393
CND_1402,0,2026-09-08 10:04,81,-1.471,-3.852,1.0,-0.802,-0.9,2.695,334.393
CND_1402,0,2026-09-08 12:04,82,-0.078,-3.605,-3.0,0.599,-1.991,-1.284,334.393
CND_1402,0,2026-09-08 14:03,83,-0.247,1.392,-5.0,0.438,0.317,-3.264,334.393
CND_1402,0,2026-09-08 16:04,84,-0.73,-8.029,-3.0,-0.036,-6.347,-1.243,334.393
CND_1402,0,2026-09-08 18:03,85,-0.078,-3.605,-3.0,0.623,-2.071,-1.223,334.393
CND_1402,0,2026-09-08 20:03,86,0.247,-1.392,-4.0,0.957,-0.064,-2.202,334.393
CND_1402,0,2026-09-08 22:03,87,-0.326,-2.212,-1.0,0.392,-1.121,0.819,334.393
CND_1402,0,2026-09-09 04:03,90,0.494,-2.785,-5.0,1.236,-2.448,-3.119,334.393
CND_1402,0,2026-09-09 06:04,91,0.247,-1.392,-2.0,0.998,-0.888,-0.098,334.393
CND_1402,0,2026-09-09 12:04,94,-0.494,2.785,-5.0,0.281,0.546,-3.037,334.393
CND_1402,0,2026-09-09 14:04,95,-0.169,4.997,-4.0,0.614,3.129,-2.016,334.393
CND_1402,0,2026-09-09 18:04,97,-0.82,0.573,-2.0,-0.02,2.602,0.025,334.393
CND_1402,0,2026-09-09 20:03,98,-0.898,-3.032,-4.0,-0.091,-1.732,-1.954,334.393
CND_1402,0,2026-09-09 22:03,99,-0.651,-4.424,-2.0,0.165,-2.924,0.067,334.393
CND_1402,0,2026-09-10 00:03,100,-0.326,-2.212,-2.0,0.498,-1.153,0.087,334.393
CND_1402,0,2026-09-10 02:03,101,-0.326,-2.212,-2.0,0.506,-2.143,0.108,334.393
CND_1402,0,2026-09-10 04:03,102,-0.326,-2.212,-2.0,0.515,-1.848,0.129,334.393
CND_1402,0,2026-09-10 06:04,103,-0.326,-2.212,-2.0,0.523,-1.574,0.149,334.393
CND_1402,0,2026-09-10 08:04,104,-0.235,-10.814,-5.0,0.621,-4.507,-2.83,334.393
CND_1402,0,2026-09-10 10:04,105,-0.73,-8.029,-4.0,0.135,-4.777,-1.809,334.393
CND_1402,0,2026-09-10 12:04,106,0.0,-0.0,-7.0,0.873,-1.765,-4.789,334.393
CND_1402,0,2026-09-11 08:04,116,-1.055,-10.241,-1.0,-0.101,-4.712,1.418,334.393
CND_1403,1,2026-09-06 10:06,58,-0.419,-0.908,3.0,0.064,1.951,4.199,341.276
CND_1403,1,2026-09-06 12:05,59,-0.489,1.327,3.0,0.002,1.043,4.22,341.276
CND_1403,1,2026-09-06 14:05,60,-0.419,-0.908,1.0,0.081,0.479,2.241,341.276
CND_1403,1,2026-09-06 16:05,61,0.0,-0.0,-1.0,0.508,0.92,0.261,341.276
CND_1403,1,2026-09-06 18:05,62,0.0,-0.0,-2.0,0.516,0.833,-0.718,341.276
CND_1403,1,2026-09-06 20:06,63,0.838,1.816,-3.0,1.362,3.187,-1.697,341.276
CND_1403,1,2026-09-06 22:05,64,-0.419,-0.908,2.0,0.114,0.02,3.323,341.276
CND_1403,1,2026-09-07 00:05,65,0.419,0.908,0.0,0.96,1.509,1.344,341.276
CND_1403,1,2026-09-07 02:05,66,0.0,-0.0,0.0,0.55,0.706,1.364,341.276
CND_1403,1,2026-09-07 04:04,67,0.0,-0.0,0.0,0.558,1.386,1.385,341.276
CND_1403,1,2026-09-07 06:05,68,0.0,-0.0,0.0,0.566,1.571,1.406,341.276
CND_1403,1,2026-09-07 08:05,69,-0.768,-4.051,2.0,-0.193,-0.061,3.426,341.276
CND_1403,1,2026-09-07 10:05,70,-0.419,-0.908,1.0,0.164,0.335,2.447,341.276
CND_1403,1,2026-09-07 12:05,71,0.0,-0.0,-2.0,0.591,-2.129,-0.532,341.276
CND_1403,1,2026-09-07 14:05,72,-1.049,4.889,0.0,-0.449,0.442,1.488,341.276
CND_1403,1,2026-09-07 18:06,73,-0.419,-0.908,-2.0,0.197,0.575,-0.47,341.276
CND_1403,1,2026-09-07 20:05,74,0.419,0.908,0.0,1.043,1.974,1.55,341.276
CND_1403,1,2026-09-07 22:05,75,0.0,-0.0,1.0,0.633,0.698,2.571,341.276
CND_1403,1,2026-09-08 00:05,76,0.0,-0.0,0.0,0.641,0.522,1.592,341.276
CND_1403,1,2026-09-08 02:05,77,3.632,-1.676,-21.0,4.282,-0.999,-19.388,341.276
CND_1403,1,2026-09-08 04:05,78,0.0,-0.0,1.0,0.658,0.087,2.633,341.276
CND_1403,1,2026-09-08 06:05,79,0.0,-0.0,1.0,0.666,0.597,2.654,341.276
CND_1403,1,2026-09-08 08:06,80,-0.278,-5.378,2.0,0.396,0.966,3.675,341.276
CND_1403,1,2026-09-08 10:05,81,-0.349,-3.143,-2.0,0.334,-0.13,-0.305,341.276
CND_1403,1,2026-09-08 12:05,82,0.489,-1.327,-3.0,1.18,0.32,-1.284,341.276
CND_1403,1,2026-09-08 14:05,83,-0.908,0.419,-2.0,-0.209,-0.679,-0.264,341.276
CND_1403,1,2026-09-08 16:05,84,-0.419,-0.908,0.0,0.289,0.809,1.757,341.276
CND_1403,1,2026-09-08 18:05,85,0.0,-0.0,-1.0,0.716,1.565,0.778,341.276
CND_1403,1,2026-09-08 20:05,86,-0.419,-0.908,0.0,0.305,0.448,1.798,341.276
CND_1403,1,2026-09-08 22:05,87,-0.419,-0.908,0.0,0.314,0.205,1.819,341.276
CND_1403,1,2026-09-09 00:55,88,0.559,-3.562,-2.0,1.304,-3.048,-0.152,341.276
CND_1403,1,2026-09-09 02:05,89,0.978,-2.654,-6.0,1.728,-2.143,-4.14,341.276
CND_1403,1,2026-09-09 04:04,90,1.397,-1.746,-4.0,2.155,-1.402,-2.119,341.276
CND_1403,1,2026-09-09 06:05,91,0.419,0.908,-2.0,1.185,1.423,-0.098,341.276
CND_1403,1,2026-09-09 08:06,92,0.211,-6.705,-3.0,0.985,-0.813,-1.077,341.276
CND_1403,1,2026-09-09 10:05,93,0.559,-3.562,-5.0,1.342,-1.274,-3.057,341.276
CND_1403,1,2026-09-09 12:06,94,0.419,0.908,-5.0,1.21,-1.377,-3.036,341.276
CND_1403,1,2026-09-09 14:06,95,-0.07,2.235,-5.0,0.729,0.328,-3.015,341.276
CND_1403,1,2026-09-09 16:07,96,0.0,-0.0,-4.0,0.808,0.616,-1.995,341.276
CND_1403,1,2026-09-09 18:05,97,0.07,-2.235,-2.0,0.886,-0.163,0.026,341.276
CND_1403,1,2026-09-09 20:04,98,0.489,-1.327,-3.0,1.313,0.0,-0.954,341.276
CND_1403,1,2026-09-09 22:05,99,0.0,-0.0,-2.0,0.833,1.531,0.067,341.276
CND_1403,1,2026-09-10 00:05,100,0.07,-2.235,-3.0,0.911,-1.154,-0.912,341.276
CND_1403,1,2026-09-10 04:05,102,0.0,-0.0,-4.0,0.858,0.372,-1.871,341.276
CND_1403,1,2026-09-10 06:05,103,0.0,-0.0,-2.0,0.866,0.651,0.15,341.276
CND_1403,1,2026-09-10 08:05,104,-1.116,-7.194,0.0,-0.242,-0.758,2.17,341.276
CND_1403,1,2026-09-10 10:05,105,-0.278,-5.378,-3.0,0.604,-2.059,-0.809,341.276
CND_1403,1,2026-09-10 12:05,106,1.816,-0.838,-14.0,2.707,-2.639,-11.788,341.276
CND_1403,1,2026-09-10 14:06,107,-0.978,2.654,-4.0,-0.079,-0.741,-1.768,341.276
CND_1403,1,2026-09-10 16:05,108,0.211,-6.705,-7.0,1.118,-5.26,-4.747,341.276
CND_1403,1,2026-09-10 18:05,109,0.559,-3.562,-9.0,1.475,-2.067,-6.726,341.276
CND_1403,1,2026-09-10 22:05,111,0.838,1.816,-5.0,1.77,2.919,-2.685,341.276
CND_1403,1,2026-09-11 00:04,112,0.908,-0.419,-7.0,1.849,-0.0,-4.665,341.276
CND_1403,1,2026-09-11 02:05,113,0.489,-1.327,-7.0,1.438,-0.244,-4.644,341.276
CND_1403,1,2026-09-11 04:04,114,0.489,-1.327,-5.0,1.446,-1.031,-2.623,341.276
CND_1403,1,2026-09-11 06:05,115,0.07,-2.235,-3.0,1.036,-0.608,-0.602,341.276
CND_1403,1,2026-09-11 08:05,116,0.211,-6.705,-7.0,1.185,-1.062,-4.582,341.276
CND_1403,1,2026-09-11 10:06,117,-0.208,-7.613,-6.0,0.774,-5.125,-3.561,341.276
CND_1403,1,2026-09-11 12:05,118,-0.559,3.562,-4.0,0.431,0.989,-1.54,341.276
CND_1403,1,2026-09-11 14:05,119,-0.07,2.235,-4.0,0.929,0.069,-1.52,341.276
CND_1403,1,2026-09-11 16:05,120,-0.349,-3.143,-5.0,0.659,-1.132,-2.499,341.276
CND_1403,1,2026-09-11 18:05,121,0.0,-0.0,-6.0,1.016,1.28,-3.478,341.276
CND_1503,0,2026-09-01 14:04,0,-0.595,0.946,1.0,-0.595,-0.208,1.001,360.742
CND_1503,0,2026-09-01 16:03,1,-0.077,1.801,-2.0,-0.068,0.957,-1.979,360.742
CND_1503,0,2026-09-01 18:04,2,0.595,-0.946,-1.0,0.613,-0.946,-0.958,360.742
CND_1503,0,2026-09-01 20:03,3,-0.259,-0.427,1.0,-0.233,-0.047,1.063,360.742
CND_1503,0,2026-09-01 22:04,4,0.595,-0.946,0.0,0.631,-0.774,0.083,360.742
CND_1503,0,2026-09-02 00:04,5,0.259,0.427,0.0,0.304,0.427,0.104,360.742
CND_1503,0,2026-09-02 02:04,6,-0.077,1.801,2.0,-0.023,1.801,2.125,360.742
CND_1503,0,2026-09-02 04:04,7,-0.077,1.801,2.0,-0.015,1.214,2.145,360.742
CND_1503,0,2026-09-02 06:04,8,0.595,-0.946,-1.0,0.666,-1.403,-0.834,360.742
CND_1503,0,2026-09-02 08:04,9,-0.289,-6.258,3.0,-0.21,-1.604,3.187,360.742
CND_1503,0,2026-09-02 10:04,10,0.595,-0.946,-2.0,0.684,-0.226,-1.793,360.742
CND_1503,0,2026-09-02 12:04,11,-0.23,5.403,0.0,-0.133,-0.961,0.228,360.742
CND_1503,0,2026-09-02 14:04,12,0.106,4.03,-2.0,0.212,-2.334,-1.751,360.742
CND_1503,0,2026-09-02 16:03,13,-0.23,5.403,-2.0,-0.115,0.074,-1.731,360.742
CND_1503,0,2026-09-02 18:03,14,-0.259,-0.427,-1.0,-0.136,-1.071,-0.71,360.742
CND_1503,0,2026-09-02 20:04,15,-0.595,0.946,1.0,-0.463,0.327,1.311,360.742
CND_1503,0,2026-09-02 22:04,16,-0.259,-0.427,1.0,-0.118,-1.436,1.331,360.742
CND_1503,0,2026-09-03 00:03,17,-0.077,1.801,0.0,0.073,0.391,0.352,360.742
